index,word,src_link,subindex,local_path
1,сталь,https://media.spreadthesign.com/video/mp4/31/326291.mp4,0,videos/1__сталь.mp4
2,циркулярка,https://media.spreadthesign.com/video/mp4/31/332286.mp4,0,videos/2__циркулярка.mp4
3,ножиці,https://media.spreadthesign.com/video/mp4/31/326120.mp4,0,videos/3__ножиці.mp4
4,гайка,https://media.spreadthesign.com/video/mp4/31/331353.mp4,0,videos/4__гайка.mp4
5,деревина,https://media.spreadthesign.com/video/mp4/31/326518.mp4,0,videos/5__деревина.mp4
6,молоток,https://media.spreadthesign.com/video/mp4/31/329438.mp4,0,videos/6__молоток.mp4
7,береза,https://media.spreadthesign.com/video/mp4/31/327076.mp4,0,videos/7__береза.mp4
10,бетон,https://media.spreadthesign.com/video/mp4/31/328185.mp4,0,videos/10__бетон.mp4
11,цемент,https://media.spreadthesign.com/video/mp4/31/332273.mp4,0,videos/11__цемент.mp4
12,нержавіючий,https://media.spreadthesign.com/video/mp4/31/326280.mp4,0,videos/12__нержавіючий.mp4
16,дах,https://media.spreadthesign.com/video/mp4/31/328730.mp4,0,videos/16__дах.mp4
18,двері,https://media.spreadthesign.com/video/mp4/31/328731.mp4,0,videos/18__двері.mp4
19,папка для документів,https://media.spreadthesign.com/video/mp4/31/110409.mp4,0,videos/19__папка для документів.mp4
20,літак,https://media.spreadthesign.com/video/mp4/31/110648.mp4,0,videos/20__літак.mp4
21,механізм,https://media.spreadthesign.com/video/mp4/31/329411.mp4,0,videos/21__механізм.mp4
22,процес розмивання дерева,https://media.spreadthesign.com/video/mp4/31/326072.mp4,0,videos/22__процес розмивання дерева.mp4
23,лісоматеріали,https://media.spreadthesign.com/video/mp4/31/326376.mp4,0,videos/23__лісоматеріали.mp4
24,легкоокислюваний метал,https://media.spreadthesign.com/video/mp4/31/326977.mp4,0,videos/24__легкоокислюваний метал.mp4
25,щипці,https://media.spreadthesign.com/video/mp4/31/331073.mp4,0,videos/25__щипці.mp4
26,щітка для зачистки проводів,https://media.spreadthesign.com/video/mp4/31/331077.mp4,0,videos/26__щітка для зачистки проводів.mp4
28,жолоб,https://media.spreadthesign.com/video/mp4/31/328815.mp4,0,videos/28__жолоб.mp4
29,канал,https://media.spreadthesign.com/video/mp4/31/327605.mp4,0,videos/29__канал.mp4
30,залізо,https://media.spreadthesign.com/video/mp4/31/328832.mp4,0,videos/30__залізо.mp4
31,підкладка з паперу,https://media.spreadthesign.com/video/mp4/31/331981.mp4,0,videos/31__підкладка з паперу.mp4
32,шарнір,https://media.spreadthesign.com/video/mp4/31/331029.mp4,0,videos/32__шарнір.mp4
33,захисний шолом,https://media.spreadthesign.com/video/mp4/31/326085.mp4,0,videos/33__захисний шолом.mp4
34,газ,https://media.spreadthesign.com/video/mp4/31/328932.mp4,0,videos/34__газ.mp4
36,розмір,https://media.spreadthesign.com/video/mp4/31/326203.mp4,0,videos/36__розмір.mp4
37,лінійка,https://media.spreadthesign.com/video/mp4/31/326078.mp4,0,videos/37__лінійка.mp4
38,робочий одяг,https://media.spreadthesign.com/video/mp4/31/326523.mp4,0,videos/38__робочий одяг.mp4
40,канат,https://media.spreadthesign.com/video/mp4/31/326066.mp4,0,videos/40__канат.mp4
