1,сталь,https://media.spreadthesign.com/video/mp4/31/326291.mp4,0
2,циркулярка,https://media.spreadthesign.com/video/mp4/31/332286.mp4,0
3,ножиці,https://media.spreadthesign.com/video/mp4/31/326120.mp4,0
4,гайка,https://media.spreadthesign.com/video/mp4/31/331353.mp4,0
5,деревина,https://media.spreadthesign.com/video/mp4/31/326518.mp4,0
6,молоток,https://media.spreadthesign.com/video/mp4/31/329438.mp4,0
7,береза,https://media.spreadthesign.com/video/mp4/31/327076.mp4,0
8,UNAVAILABLE,UNAVAILABLE,0
9,пластичний,UNAVAILABLE,0
10,бетон,https://media.spreadthesign.com/video/mp4/31/328185.mp4,0
11,цемент,https://media.spreadthesign.com/video/mp4/31/332273.mp4,0
12,нержавіючий,https://media.spreadthesign.com/video/mp4/31/326280.mp4,0
13,з'єднання,UNAVAILABLE,0
14,косяк,UNAVAILABLE,0
15,рендеринг,UNAVAILABLE,0
16,дах,https://media.spreadthesign.com/video/mp4/31/328730.mp4,0
17,UNAVAILABLE,UNAVAILABLE,0
18,двері,https://media.spreadthesign.com/video/mp4/31/328731.mp4,0
19,папка для документів,https://media.spreadthesign.com/video/mp4/31/110409.mp4,0
20,літак,https://media.spreadthesign.com/video/mp4/31/110648.mp4,0
21,механізм,https://media.spreadthesign.com/video/mp4/31/329411.mp4,0
22,процес розмивання дерева,https://media.spreadthesign.com/video/mp4/31/326072.mp4,0
23,лісоматеріали,https://media.spreadthesign.com/video/mp4/31/326376.mp4,0
24,легкоокислюваний метал,https://media.spreadthesign.com/video/mp4/31/326977.mp4,0
25,щипці,https://media.spreadthesign.com/video/mp4/31/331073.mp4,0
26,щітка для зачистки проводів,https://media.spreadthesign.com/video/mp4/31/331077.mp4,0
27,хром,UNAVAILABLE,0
28,жолоб,https://media.spreadthesign.com/video/mp4/31/328815.mp4,0
29,канал,https://media.spreadthesign.com/video/mp4/31/327605.mp4,0
30,залізо,https://media.spreadthesign.com/video/mp4/31/328832.mp4,0
31,підкладка з паперу,https://media.spreadthesign.com/video/mp4/31/331981.mp4,0
32,шарнір,https://media.spreadthesign.com/video/mp4/31/331029.mp4,0
33,захисний шолом,https://media.spreadthesign.com/video/mp4/31/326085.mp4,0
34,газ,https://media.spreadthesign.com/video/mp4/31/328932.mp4,0
35,UNAVAILABLE,UNAVAILABLE,0
36,розмір,https://media.spreadthesign.com/video/mp4/31/326203.mp4,0
37,лінійка,https://media.spreadthesign.com/video/mp4/31/326078.mp4,0
38,робочий одяг,https://media.spreadthesign.com/video/mp4/31/326523.mp4,0
39,лом,UNAVAILABLE,0
40,канат,https://media.spreadthesign.com/video/mp4/31/326066.mp4,0
41,наждачний папір,https://media.spreadthesign.com/video/mp4/31/326104.mp4,0
42,залізний кут,https://media.spreadthesign.com/video/mp4/31/326788.mp4,0
43,ящик для інструментів,https://media.spreadthesign.com/video/mp4/31/326383.mp4,0
44,арматура,https://media.spreadthesign.com/video/mp4/31/328158.mp4,0
45,монтерські кігті,https://media.spreadthesign.com/video/mp4/31/329441.mp4,0
46,лак для дерева,https://media.spreadthesign.com/video/mp4/31/326517.mp4,0
47,цоколь,UNAVAILABLE,0
48,дриль,https://media.spreadthesign.com/video/mp4/31/328796.mp4,0
49,UNAVAILABLE,UNAVAILABLE,0
