сталь,https://media.spreadthesign.com/video/mp4/31/326291.mp4,0
циркулярка,https://media.spreadthesign.com/video/mp4/31/332286.mp4,0
ножиці,https://media.spreadthesign.com/video/mp4/31/326120.mp4,0
гайка,https://media.spreadthesign.com/video/mp4/31/331353.mp4,0
деревина,https://media.spreadthesign.com/video/mp4/31/326518.mp4,0
молоток,https://media.spreadthesign.com/video/mp4/31/329438.mp4,0
береза,https://media.spreadthesign.com/video/mp4/31/327076.mp4,0
UNAVAILABLE,UNAVAILABLE,0
пластичний,UNAVAILABLE,0
бетон,https://media.spreadthesign.com/video/mp4/31/328185.mp4,0
цемент,https://media.spreadthesign.com/video/mp4/31/332273.mp4,0
нержавіючий,https://media.spreadthesign.com/video/mp4/31/326280.mp4,0
з'єднання,UNAVAILABLE,0
косяк,UNAVAILABLE,0
рендеринг,UNAVAILABLE,0
дах,https://media.spreadthesign.com/video/mp4/31/328730.mp4,0
UNAVAILABLE,UNAVAILABLE,0
двері,https://media.spreadthesign.com/video/mp4/31/328731.mp4,0
папка для документів,https://media.spreadthesign.com/video/mp4/31/110409.mp4,0
літак,https://media.spreadthesign.com/video/mp4/31/110648.mp4,0
механізм,https://media.spreadthesign.com/video/mp4/31/329411.mp4,0
процес розмивання дерева,https://media.spreadthesign.com/video/mp4/31/326072.mp4,0
лісоматеріали,https://media.spreadthesign.com/video/mp4/31/326376.mp4,0
легкоокислюваний метал,https://media.spreadthesign.com/video/mp4/31/326977.mp4,0
щипці,https://media.spreadthesign.com/video/mp4/31/331073.mp4,0
щітка для зачистки проводів,https://media.spreadthesign.com/video/mp4/31/331077.mp4,0
хром,UNAVAILABLE,0
жолоб,https://media.spreadthesign.com/video/mp4/31/328815.mp4,0
канал,https://media.spreadthesign.com/video/mp4/31/327605.mp4,0
залізо,https://media.spreadthesign.com/video/mp4/31/328832.mp4,0
підкладка з паперу,https://media.spreadthesign.com/video/mp4/31/331981.mp4,0
шарнір,https://media.spreadthesign.com/video/mp4/31/331029.mp4,0
