сталь,https://media.spreadthesign.com/video/mp4/31/326291.mp4,videos/1__сталь
циркулярка,https://media.spreadthesign.com/video/mp4/31/332286.mp4,videos/2__циркулярка
ножиці,https://media.spreadthesign.com/video/mp4/31/326120.mp4,videos/3__ножиці
гайка,https://media.spreadthesign.com/video/mp4/31/331353.mp4,videos/4__гайка
деревина,https://media.spreadthesign.com/video/mp4/31/326518.mp4,videos/5__деревина
молоток,https://media.spreadthesign.com/video/mp4/31/329438.mp4,videos/6__молоток
береза,https://media.spreadthesign.com/video/mp4/31/327076.mp4,videos/7__береза
UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
пластичний,UNAVAILABLE,UNAVAILABLE
бетон,https://media.spreadthesign.com/video/mp4/31/328185.mp4,videos/10__бетон
цемент,https://media.spreadthesign.com/video/mp4/31/332273.mp4,videos/11__цемент
нержавіючий,https://media.spreadthesign.com/video/mp4/31/326280.mp4,videos/12__нержавіючий
з'єднання,UNAVAILABLE,UNAVAILABLE
косяк,UNAVAILABLE,UNAVAILABLE
рендеринг,UNAVAILABLE,UNAVAILABLE
дах,https://media.spreadthesign.com/video/mp4/31/328730.mp4,videos/16__дах
UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
двері,https://media.spreadthesign.com/video/mp4/31/328731.mp4,videos/18__двері
папка для документів,https://media.spreadthesign.com/video/mp4/31/110409.mp4,videos/19__папка для документів
літак,https://media.spreadthesign.com/video/mp4/31/110648.mp4,videos/20__літак
механізм,https://media.spreadthesign.com/video/mp4/31/329411.mp4,videos/21__механізм
процес розмивання дерева,https://media.spreadthesign.com/video/mp4/31/326072.mp4,videos/22__процес розмивання дерева
лісоматеріали,https://media.spreadthesign.com/video/mp4/31/326376.mp4,videos/23__лісоматеріали
легкоокислюваний метал,https://media.spreadthesign.com/video/mp4/31/326977.mp4,videos/24__легкоокислюваний метал
щипці,https://media.spreadthesign.com/video/mp4/31/331073.mp4,videos/25__щипці
щітка для зачистки проводів,https://media.spreadthesign.com/video/mp4/31/331077.mp4,videos/26__щітка для зачистки проводів
хром,UNAVAILABLE,UNAVAILABLE
жолоб,https://media.spreadthesign.com/video/mp4/31/328815.mp4,videos/28__жолоб
канал,https://media.spreadthesign.com/video/mp4/31/327605.mp4,videos/29__канал
залізо,https://media.spreadthesign.com/video/mp4/31/328832.mp4,videos/30__залізо
підкладка з паперу,https://media.spreadthesign.com/video/mp4/31/331981.mp4,videos/31__підкладка з паперу
шарнір,https://media.spreadthesign.com/video/mp4/31/331029.mp4,videos/32__шарнір
захисний шолом,https://media.spreadthesign.com/video/mp4/31/326085.mp4,videos/33__захисний шолом
газ,https://media.spreadthesign.com/video/mp4/31/328932.mp4,videos/34__газ
UNAVAILABLE,UNAVAILABLE,UNAVAILABLE
розмір,https://media.spreadthesign.com/video/mp4/31/326203.mp4,videos/36__розмір
лінійка,https://media.spreadthesign.com/video/mp4/31/326078.mp4,videos/37__лінійка
