сталь,https://media.spreadthesign.com/video/mp4/31/326291.mp4
циркулярка,https://media.spreadthesign.com/video/mp4/31/332286.mp4
ножиці,https://media.spreadthesign.com/video/mp4/31/326120.mp4
гайка,https://media.spreadthesign.com/video/mp4/31/331353.mp4
деревина,https://media.spreadthesign.com/video/mp4/31/326518.mp4
молоток,https://media.spreadthesign.com/video/mp4/31/329438.mp4
береза,https://media.spreadthesign.com/video/mp4/31/327076.mp4
UNAVAILABLE,UNAVAILABLE
пластичний,UNAVAILABLE
бетон,https://media.spreadthesign.com/video/mp4/31/328185.mp4
цемент,https://media.spreadthesign.com/video/mp4/31/332273.mp4
нержавіючий,https://media.spreadthesign.com/video/mp4/31/326280.mp4
з'єднання,UNAVAILABLE
косяк,UNAVAILABLE
рендеринг,UNAVAILABLE
дах,https://media.spreadthesign.com/video/mp4/31/328730.mp4
UNAVAILABLE,UNAVAILABLE
двері,https://media.spreadthesign.com/video/mp4/31/328731.mp4
папка для документів,https://media.spreadthesign.com/video/mp4/31/110409.mp4
літак,https://media.spreadthesign.com/video/mp4/31/110648.mp4
механізм,https://media.spreadthesign.com/video/mp4/31/329411.mp4
процес розмивання дерева,https://media.spreadthesign.com/video/mp4/31/326072.mp4
лісоматеріали,https://media.spreadthesign.com/video/mp4/31/326376.mp4
легкоокислюваний метал,https://media.spreadthesign.com/video/mp4/31/326977.mp4
щипці,https://media.spreadthesign.com/video/mp4/31/331073.mp4
щітка для зачистки проводів,https://media.spreadthesign.com/video/mp4/31/331077.mp4
хром,UNAVAILABLE
жолоб,https://media.spreadthesign.com/video/mp4/31/328815.mp4
канал,https://media.spreadthesign.com/video/mp4/31/327605.mp4
залізо,https://media.spreadthesign.com/video/mp4/31/328832.mp4
підкладка з паперу,https://media.spreadthesign.com/video/mp4/31/331981.mp4
шарнір,https://media.spreadthesign.com/video/mp4/31/331029.mp4
захисний шолом,https://media.spreadthesign.com/video/mp4/31/326085.mp4
газ,https://media.spreadthesign.com/video/mp4/31/328932.mp4
UNAVAILABLE,UNAVAILABLE
розмір,https://media.spreadthesign.com/video/mp4/31/326203.mp4
лінійка,https://media.spreadthesign.com/video/mp4/31/326078.mp4
робочий одяг,https://media.spreadthesign.com/video/mp4/31/326523.mp4
лом,UNAVAILABLE
канат,https://media.spreadthesign.com/video/mp4/31/326066.mp4
наждачний папір,https://media.spreadthesign.com/video/mp4/31/326104.mp4
залізний кут,https://media.spreadthesign.com/video/mp4/31/326788.mp4
ящик для інструментів,https://media.spreadthesign.com/video/mp4/31/326383.mp4
арматура,https://media.spreadthesign.com/video/mp4/31/328158.mp4
монтерські кігті,https://media.spreadthesign.com/video/mp4/31/329441.mp4
лак для дерева,https://media.spreadthesign.com/video/mp4/31/326517.mp4
цоколь,UNAVAILABLE
дриль,https://media.spreadthesign.com/video/mp4/31/328796.mp4
UNAVAILABLE,UNAVAILABLE
